time,angle,w,q_f,z_vc_d,z_vc_q,z_cc_d,z_cc_q,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,i_L_f,v_dc_f,i_dc_f,i_load_f,x_1,x_2,i_L,v_dc,i_load,p_vsc,p_sh,p_load
0.0,-0.0017823570497950143,1.0,0.04005103695221772,-0.0009485724835955883,-0.008109693717324354,0.9857332395646088,0.0001232093552425706,-0.39983582990362865,0.02464187104851061,0.9877324187141269,0.0,-0.4986090717750412,-0.04054846858662178,-0.15825686359172783,1.05,-0.3753604112341561,0.3,-0.08289645235757173,0.5238095238095238,-0.15825686359172783,1.05,0.3,-0.3941284317958639,-0.49249234445716716,0.315
0.002004008016032064,0.011403487173597194,1.0000000000041307,0.040051127053545695,-0.0009486261644186687,-0.00810970408993854,0.9857332341849951,0.0001232103145113898,-0.3998356137703966,0.024641833607315644,0.9877314451820628,-3.876414503198568e-8,-0.49860853860050197,-0.040548506513423545,-0.15825686268406577,1.0499999996427334,-0.37536039532938936,0.3,-0.08289645235760745,0.5238095240204195,-0.15825677364182378,1.0499999967884959,0.3,-0.3941278308898971,-0.49249133084016194,0.31499999903654874
0.004008016032064128,0.02458933139664036,0.9999999999967063,0.04005113315666362,-0.0009486278633741295,-0.00810970433272986,0.9857332323977349,0.00012321053407568952,-0.39983566009927224,0.024641834589020663,0.9877314288541639,-4.014497764289654e-8,-0.49860861436487014,-0.040548503631911016,-0.15825683518257483,1.0499999990942621,-0.3753603955938276,0.3,-0.0828964523305344,0.5238095241946545,-0.15825668966321962,1.0499999987935411,0.3,-0.3941278699704532,-0.4924913974777892,0.3149999996380623
0.0060120240480961915,0.0377751756198326,1.0000000000205005,0.04005110520530955,-0.0009486331266889475,-0.008109700686461689,0.9857332310501182,0.00012321079497379147,-0.39983565813312916,0.024641864746944086,0.9877314026973539,-4.28917574854068e-8,-0.4986086456114454,-0.04054847200722704,-0.15825682192820975,1.0499999992320748,-0.3753604069442664,0.3,-0.08289645229483178,0.5238095237462939,-0.15825686481753196,1.0500000021204547,0.3,-0.39412785763812347,-0.49249141518762557,0.3150000006361364
0.008016032064128256,0.05096101984343818,1.0000000000545175,0.04005107009275524,-0.0009486336648897699,-0.008109694583772982,0.9857332299423892,0.00012321100968915993,-0.39983562277663365,0.02464189869220677,0.9877313775730525,-4.2896872689627944e-8,-0.4986086439327069,-0.0405484368326067,-0.15825685263385322,1.0499999996680671,-0.37536042035914746,0.3,-0.0828964522730684,0.5238095232058423,-0.15825708747888792,1.0500000021901965,0.3,-0.39412781280294246,-0.49249140100208305,0.31500000065705897
0.01002004008016032,0.06414686406748626,1.0000000000835236,0.04005104134432375,-0.0009486288976622124,-0.008109688618659823,0.985733229015346,0.0001232111825973004,-0.39983556246692425,0.024641923669514537,0.9877313548144595,-4.038324078284658e-8,-0.49860861757488345,-0.04054841079809913,-0.15825689799680417,1.0499999997838532,-0.3753604303722098,0.3,-0.08289645226355326,0.5238095232681012,-0.15825706909443568,1.0500000001712475,0.3,-0.39412774430650044,-0.49249136372192814,0.31500000005137424
0.012024048096192383,0.077332708291841,1.000000000098005,0.04005102644464294,-0.0009486206818968372,-0.008109684714689914,0.985733228198716,0.00012321133011866404,-0.39983548980550654,0.02464193325388157,0.9877313344146766,-3.638290459702065e-8,-0.4986085791616062,-0.040548400193119616,-0.1582569094293364,1.049999999624654,-0.37536043408813613,0.3,-0.08289645225177589,0.5238095238194299,-0.15825684915113764,1.049999999858509,0.3,-0.39412766456957143,-0.49249131577063066,0.3149999999575527
0.014028056112224447,0.09051855251628615,1.0000000000953335,0.040051026714989495,-0.0009486116569531218,-0.008109683672450926,0.9857332274159752,0.00012321147145055958,-0.39983541853843446,0.024641927349854636,0.9877313163195077,-3.2106250822566636e-8,-0.49860854242017255,-0.0405484049894539,-0.15825688219698528,1.0499999996845037,-0.37536043124918744,0.3,-0.08289645223650856,0.523809524167868,-0.15825670912328413,1.0500000019133995,0.3,-0.39412758712278245,-0.49249127063097087,0.31500000057401983
0.01603206412825651,0.10370439674061295,1.0000000000789764,0.04005103830281076,-0.0009486041241476086,-0.008109685194345125,0.985733226604885,0.0001232116212632283,-0.39983535913492113,0.02464191081150682,0.9877313005455081,-2.8563046997208018e-8,-0.4986085178702288,-0.04054842025601037,-0.1582568548100238,1.0500000000980152,-0.37536042388040425,0.3,-0.08289645223139681,0.5238095239984962,-0.1582567806712445,1.050000003327216,0.3,-0.39412752229534903,-0.4924912386608429,0.31500000099816483
0.018036072144288574,0.11689024096468549,1.0000000000560232,0.040051054587752724,-0.0009485994041947994,-0.00810968822419314,0.9857332257351222,0.0001232117864484266,-0.3998353162479217,0.02464189079770677,0.9877312872104381,-2.6293531849081152e-8,-0.4986085101764695,-0.04054843884050197,-0.15825685416345797,1.0500000004379044,-0.37536041519825264,0.3,-0.08289645224320237,0.523809523695781,-0.1582569074567806,1.0500000019971618,0.3,-0.39412747472316884,-0.4924912245045214,0.3150000005991485
0.02004008016032064,0.13007608518846825,1.0000000000340974,0.04005106894491384,-0.0009485976087227401,-0.008109691451619806,0.9857332248090866,0.00012321196665744294,-0.3998352885516552,0.0246418739567009,0.9877312765067165,-2.5303421427351882e-8,-0.4986085179296494,-0.04054845417870666,-0.15825686567686006,1.0500000003209788,-0.37536040818183963,0.3,-0.08289645225991901,0.5238095237106396,-0.15825690205173118,1.0499999995353924,0.3,-0.394127443177465,-0.49249122686576,0.3149999998606177
0.022044088176352703,0.1432619294120149,1.0000000000187927,0.04005107681539317,-0.0009485978835844036,-0.008109693803691,0.9857332238544726,0.0001232121546038464,-0.39983527048466155,0.02464186439108328,0.9877312685385456,-2.5167442775108268e-8,-0.49860853556175083,-0.04054846221278745,-0.1582568626119847,1.0499999999070928,-0.37536040452706326,0.3,-0.08289645226460364,0.5238095239548103,-0.1582567982246606,1.049999998778052,0.3,-0.3941274222174189,-0.4924912403140536,0.3149999996334156
0.024048096192384766,0.15644777363543155,1.0000000000123543,0.040051076736580364,-0.0009485989015490712,-0.008109694722965273,0.9857332229094088,0.00012321234045851708,-0.3998352550147536,0.024641862966637257,0.9877312634049877,-2.5294713370744455e-8,-0.4986085559366528,-0.040548462158137795,-0.1582568457380442,1.0499999996385303,-0.3753604044205008,0.3,-0.08289645225433209,0.5238095240156395,-0.15825676677016332,1.0500000000113707,0.3,-0.394127404950071,-0.49249125787418485,0.3150000000034112
0.026052104208416832,0.16963361785883127,1.0000000000136864,0.040051070153019126,-0.0009485994071722504,-0.008109694228351907,0.9857332220072963,0.0001232125169947906,-0.39983523624207085,0.024641867707214975,0.987731261122404,-2.5133636329334118e-8,-0.49860857300830375,-0.040548456057355915,-0.15825683877774896,1.0499999996615164,-0.3753604069430202,0.3,-0.08289645223945864,0.5238095237748345,-0.15825686033631356,1.0500000010591275,0.3,-0.3941273855649704,-0.49249127360480394,0.3150000003177382
0.028056112224448895,0.18281946208229602,1.000000000019457,0.040051060225833844,-0.00094859855666126,-0.008109692800008282,0.9857332211676164,0.00012321267870242384,-0.3998352110159202,0.024641875089381055,0.9877312616269764,-2.435495851429488e-8,-0.49860858359492627,-0.04054844741300217,-0.15825685250706417,1.0499999997241019,-0.3753604106474291,0.3,-0.08289645222739868,0.5238095235428146,-0.1582569535099304,1.0500000005286207,0.3,-0.3941273609299147,-0.4924912843447005,0.3150000001585862
0.03006012024048096,0.19600530630585797,1.0000000000256644,0.04005105053105978,-0.0009485961658679911,-0.008109691098056397,0.9857332203918588,0.00012321282580405083,-0.3998351793509678,0.024641881501348176,0.9877312647989647,-2.2906345716950945e-8,-0.4986085876339008,-0.04054843983504152,-0.1582568704248294,1.0499999996006875,-0.3753604140459525,0.3,-0.08289645221433795,0.5238095235962777,-0.15825693103167,1.0499999994662723,0.3,-0.394127331011055,-0.4924912899744417,0.3149999998398817
0.03206412825651302,0.20919115052950005,1.0000000000290759,0.04005104374216436,-0.0009485925628915761,-0.008109689730303002,0.9857332196670148,0.00012321296144173963,-0.3998351437696878,0.024641884441538302,0.9877312705545586,-2.0967038725490827e-8,-0.4986085876077309,-0.04054843577081515,-0.15825687258781315,1.0499999993960414,-0.375360416017408,0.3,-0.08289645219386822,0.5238095238187865,-0.15825683823437708,1.049999999507894,0.3,-0.3941272982613549,-0.4924912928970174,0.31499999985236815
0.03406813627254509,0.22237699475317277,1.000000000028091,0.04005104102754483,-0.0009485884093091667,-0.008109689055837522,0.9857332189732276,0.00012321309091828676,-0.39983510792060195,0.02464188307156934,0.9877312788292943,-1.885275523324216e-8,-0.4986085870604947,-0.04054843603774427,-0.15825686104882492,1.0499999993469222,-0.37536041610668486,0.3,-0.08289645216772953,0.5238095239063988,-0.15825679975423165,1.050000000530973,0.3,-0.3941272662521965,-0.4924912965680803,0.3150000001592919
0.03607214428857715,0.23556283897681748,1.000000000022892,0.04005104197042845,-0.0009485843858430781,-0.00810968913558172,0.9857332182898578,0.0001232132185636254,-0.39983507514034117,0.02464187811164713,0.9877312895440236,-1.6879730378661794e-8,-0.49860858937920366,-0.0405484398786579,-0.1582568532827526,1.0499999994667937,-0.37536041461477737,0.3,-0.08289645214347371,0.5238095237863156,-0.1582568468473076,1.0500000010269894,0.3,-0.3941272382419022,-0.4924913042808006,0.31500000030809683
0.038076152304609215,0.24874868320038762,1.000000000015002,0.04005104508818855,-0.0009485809932454983,-0.0081096897692445,0.9857332176044654,0.00012321334716703226,-0.39983504748822446,0.024641871270563304,0.9877313027043392,-1.526056683905899e-8,-0.4986085965363969,-0.04054844558685154,-0.15825685711626145,1.0499999995379912,-0.3753604123537483,0.3,-0.08289645212384165,0.5238095236666385,-0.15825689447484462,1.0500000002958705,0.3,-0.394127216263346,-0.4924913179776853,0.3150000000887611
0.04008016032064128,0.261934527423861,1.0000000000064695,0.040051048530240926,-0.0009485784175187913,-0.008109690627948807,0.9857332169136874,0.00012321347752527022,-0.39983502535893894,0.02464186445699678,0.9877313182842508,-1.4067638830989157e-8,-0.4986086089051319,-0.040548451249500454,-0.15825686274068065,1.0499999994172131,-0.375360410197923,0.3,-0.08289645210326091,0.5238095237112955,-0.15825687382582856,1.049999999282052,0.3,-0.39412720069571594,-0.4924913380113214,0.31499999978461557
0.04208416833667334,0.27512037164724157,0.9999999999991139,0.04005105078800687,-0.0009485765589197586,-0.008109691377158569,0.9857332162212445,0.00012321360907663798,-0.39983500776133923,0.024641859138095634,0.9877313362815558,-1.3242990846477338e-8,-0.4986086254060306,-0.040548455435683514,-0.15825685943154236,1.0499999992079108,-0.37536040873668697,0.3,-0.08289645207539806,0.5238095238271895,-0.15825682195958957,1.0499999991281017,0.3,-0.3941271905613193,-0.4924913633168255,0.3149999997384305
0.044088176352705406,0.2883062158705528,0.9999999999939855,0.04005105103699758,-0.0009485750993223997,-0.0081096918022183,0.9857332155354698,0.00012321373943854607,-0.3998349929674046,0.02464185598342849,0.9877313566572831,-1.2649712883872662e-8,-0.4986086442857066,-0.04054845748023244,-0.15825685074130164,1.0499999990905258,-0.3753604081837658,0.3,-0.08289645204055263,0.5238095238288611,-0.15825681578821912,1.0499999996830365,0.3,-0.3941271841411244,-0.49249139214844334,0.31499999990491095
0.04609218436873747,0.3014920600938257,0.9999999999912331,0.04005104929467402,-0.0009485736828276925,-0.00810969183056578,0.9857332148662581,0.00012321386584192854,-0.39983497918944927,0.02464185484201891,0.987731379405215,-1.214261227202927e-8,-0.4986086636521552,-0.04054845756796803,-0.15825684806624826,1.0499999990836162,-0.3753604084580909,0.3,-0.08289645200349303,0.5238095237034525,-0.1582568622520914,1.0499999999308351,0.3,-0.39412717967049926,-0.49249142264017,0.31499999997925054
0.04809619238476953,0.3146779043170878,0.99999999999021,0.04005104623579655,-0.0009485720224418066,-0.008109691534950012,0.9857332142209052,0.0001232139867927475,-0.39983496519148276,0.024641854907759084,0.9877314044238484,-1.1593901501621267e-8,-0.4986086821989866,-0.040548456503289136,-0.15825685431089645,1.049999999056681,-0.3753604092628437,0.3,-0.08289645196621433,0.5238095236083729,-0.15825689731347597,1.0499999994730047,0.3,-0.3941271758900242,-0.49249145345621453,0.3149999998419014
0.0501002004008016,0.3278637485403554,0.9999999999898855,0.04005104280510689,-0.0009485699923378435,-0.008109691076892666,0.9857332136010782,0.0001232141018671089,-0.3998349505306853,0.02464185518634794,0.9877314316131767,-1.0958635733963353e-8,-0.4986086994842452,-0.04054845527422722,-0.1582568608715328,1.0499999989357032,-0.37536041018851457,0.3,-0.08289645192593459,0.5238095236422845,-0.15825687958977183,1.049999998954291,0.3,-0.3941271723232341,-0.49249148411200194,0.3149999996862873
0.052104208416833664,0.3410495927636306,0.999999999989267,0.0400510398558293,-0.0009485676118131407,-0.008109690633190416,0.9857332130047911,0.00012321421169253347,-0.3998349356823676,0.024641854867399723,0.9877314609019594,-1.0265299704197906e-8,-0.49860871582225963,-0.04054845469579764,-0.15825686018472296,1.0499999987982385,-0.3753604108476785,0.3,-0.08289645188004316,0.5238095237250887,-0.1582568412011768,1.0499999990292617,0.3,-0.3941271694101248,-0.49249151488132836,0.3149999997087785
0.05410821643286573,0.3542354369869046,0.9999999999877044,0.04005103791156705,-0.0009485650207490865,-0.0081096903340635,0.985733212427269,0.00012321431728023032,-0.3998349214503171,0.02464185350202958,0.987731492196409,-9.58470933174125e-9,-0.49860873201580724,-0.040548455207196576,-0.15825685508933438,1.049999998747645,-0.37536041101035705,0.3,-0.08289645183018236,0.5238095237298801,-0.15825683446921904,1.0499999994672449,0.3,-0.39412716790576474,-0.49249154650748755,0.31499999984017346
0.05611222444889779,0.3674212812101629,0.9999999999850171,0.04005103705551782,-0.0009485624216469965,-0.008109690237084518,0.9857332118620039,0.0001232144198714018,-0.399834908820053,0.024641851088595613,0.9877315253770316,-9.005675915211048e-9,-0.4986087490026961,-0.040548456790650916,-0.15825685324633826,1.0499999987677404,-0.3753604106794382,0.3,-0.08289645177997987,0.5238095236553598,-0.1582568607025139,1.0499999995694935,0.3,-0.39412716873405274,-0.4924915798536002,0.31499999987084804
0.058116232464929855,0.38060712543339176,0.999999999981458,0.040051037020866063,-0.0009485599725007242,-0.00810969031749555,0.9857332113050765,0.00012321452079285496,-0.3998348985238368,0.024641847980095985,0.9877315603695723,-8.607547570462604e-9,-0.49860876743092325,-0.040548459098266744,-0.15825685625354283,1.0499999987557271,-0.37536041004127957,0.3,-0.08289645173026024,0.5238095236053802,-0.15825687725771084,1.0499999991568907,0.3,-0.3941271725875176,-0.49249161551947224,0.3149999997470672
0.06012024048096192,0.39379296965658256,0.9999999999775253,0.04005103734092251,-0.000948557764202363,-0.008109690502574369,0.9857332107531077,0.00012321462060439683,-0.3998348908915826,0.024641844682450825,0.9877315970783369,-8.422392886432172e-9,-0.49860878759013433,-0.04054846162076385,-0.15825685862579733,1.04999999866561,-0.37536040932571724,0.3,-0.08289645167843815,0.5238095236332426,-0.15825686148967175,1.0499999987314024,0.3,-0.39412717975311057,-0.49249165374218157,0.3149999996194207
0.06212424849699398,0.40697881387973367,0.9999999999737639,0.040051037547411426,-0.0009485558045277831,-0.008109690699026529,0.9857332102064151,0.00012321471930200784,-0.39983488582309973,0.024641841675109917,0.987731635427354,-8.459546043160473e-9,-0.498608809318032,-0.04054846388649881,-0.1582568563993653,1.0499999985575195,-0.37536040871893234,0.3,-0.08289645162233523,0.5238095236771882,-0.15825683828594758,1.049999998723128,0.3,-0.39412719010200686,-0.4924916943231638,0.3149999996169384
0.06412825651302605,0.4201646581028501,0.9999999999705647,0.04005103732316686,-0.0009485540393279816,-0.008109690831954803,0.9857332096659823,0.00012321481646782094,-0.3998348828993351,0.02464183925407437,0.9877316753155289,-8.689248195101066e-9,-0.4986088321294085,-0.0405484656102652,-0.1582568524236961,1.04999999850209,-0.3753604083137353,0.3,-0.08289645156282714,0.5238095236596247,-0.1582568399609424,1.0499999989431568,0.3,-0.39412720318074285,-0.49249173673396424,0.314999999682947
0.06613226452905811,0.4333505023259399,0.9999999999680734,0.04005103657946099,-0.0009485523752749235,-0.008109690863947522,0.9857332091350244,0.00012321491137636778,-0.39983488163915676,0.024641837465693407,0.9877317166261044,-9.067330148869398e-9,-0.4986088554621249,-0.04054846674766591,-0.15825685173920315,1.0499999984874604,-0.3753604081350065,0.3,-0.08289645150209042,0.5238095235935722,-0.15825686180065635,1.0499999989391098,0.3,-0.3941272184682298,-0.49249178036291547,0.3149999996817329
0.06813627254509018,0.446536346549012,0.9999999999662119,0.04005103542263005,-0.0009485507272883664,-0.008109690796742699,0.9857332086145992,0.00012321500362866877,-0.3998348816015161,0.02464183616953667,0.9877317592548487,-9.5603610836859e-9,-0.49860887884914745,-0.04054846743824028,-0.15825685461090502,1.0499999984509008,-0.3753604081442574,0.3,-0.08289645144050901,0.523809523553341,-0.1582568733822537,1.0499999986394628,0.3,-0.39412723548812895,-0.49249182469809816,0.31499999959183883
0.07014028056112225,0.45972219077207277,0.9999999999647449,0.04005103407823637,-0.0009485490485304028,-0.00810969066433952,0.985733208105066,0.00012321509310146475,-0.39983488263033384,0.024641835135693253,0.9877318030511669,-1.0139177925587584e-8,-0.4986089019933812,-0.040548467928443105,-0.1582568568255314,1.0499999983725945,-0.3753604082388573,0.3,-0.0828964513765559,0.5238095235688379,-0.1582568620637954,1.0499999983893555,0.3,-0.39412725402602494,-0.4924918693721569,0.31499999951680663
0.0721442885771543,0.47290803499512535,0.9999999999634098,0.04005103277977273,-0.0009485473200191581,-0.008109690511986596,0.9857332076068137,0.00012321517971665853,-0.3998348846677436,0.024641834126434548,0.9877318479245712,-1.0810572325392196e-8,-0.49860892484484515,-0.040548468442869696,-0.158256855790994,1.0499999982977322,-0.3753604083031677,0.3,-0.08289645130933036,0.5238095235932518,-0.1582568467836999,1.049999998429225,0.3,-0.3941272739890386,-0.4924919142903304,0.3149999995287675
0.07414829659318636,0.4860938792181695,0.9999999999619802,0.04005103172146884,-0.000948545569532847,-0.008109690380120244,0.9857332071185241,0.00012321526392858925,-0.39983488786967436,0.02464183296993573,0.9877318937142192,-1.1577074241769958e-8,-0.4986089474708642,-0.040548469161317664,-0.15825685359216599,1.0499999982675567,-0.3753604082417355,0.3,-0.08289645123994893,0.5238095235768221,-0.15825684823323713,1.0499999985816661,0.3,-0.39412729546635694,-0.49249195943881774,0.3149999995744998
0.07615230460921843,0.4992797234412026,0.9999999999603432,0.04005103098094648,-0.0009485438450169243,-0.008109690296533658,0.9857332066383396,0.0001232153459758585,-0.3998348924839215,0.02464183160780021,0.9877319402789071,-1.2461837936152938e-8,-0.49860897004117755,-0.04054847013149587,-0.15825685342387572,1.04999999826456,-0.3753604080352969,0.3,-0.08289645117004792,0.5238095235326776,-0.1582568613735318,1.0499999985448054,0.3,-0.3941273186458714,-0.4924920049139313,0.3149999995634416
0.0781563126252505,0.5124655676642217,0.9999999999585061,0.04005103053970143,-0.0009485421955658617,-0.0081096902648493,0.9857332061645965,0.00012321542631467248,-0.3998348986951134,0.024641830088425434,0.9877319874841953,-1.3480836700010705e-8,-0.4986089927063083,-0.0405484713089876,-0.15825685515164248,1.0499999982428967,-0.3753604077182842,0.3,-0.08289645109977536,0.523809523509306,-0.1582568661947309,1.0499999983056751,0.3,-0.39412734365583557,-0.49249205079666725,0.31499999949170254
0.08016032064128256,0.5256514118872241,0.9999999999565737,0.040051030300534515,-0.0009485406546467247,-0.008109690271805005,0.9857332056958392,0.00012321550505331718,-0.3998349067227328,0.024641828543149162,0.987732035170504,-1.4644126872503808e-8,-0.4986090155510674,-0.04054847257354885,-0.158256856010773,1.0499999981917865,-0.3753604073474318,0.3,-0.08289645102798819,0.5238095235201594,-0.15825685684851623,1.0499999981145378,0.3,-0.39412737064857195,-0.4924920970908203,0.31499999943436136
