Index,"('voltage_source_4a_0', 'i_bus_d')","('voltage_source_4a_0', 'i_bus_q')","('gfli_23a_0', 'z_pll')","('gfli_23a_0', 'phase')","('gfli_23a_0', 'z_cc_d')","('gfli_23a_0', 'z_cc_q')","('gfli_23a_0', 'i_vsc_d')","('gfli_23a_0', 'i_vsc_q')","('gfli_23a_0', 'i_bus_d')","('gfli_23a_0', 'i_bus_q')","('gfli_23a_0', 'v_lcl_sh_d')","('gfli_23a_0', 'v_lcl_sh_q')","('gfli_23a_0', 'i_L_f')","('gfli_23a_0', 'v_dc_f')","('gfli_23a_0', 'i_dc_f')","('gfli_23a_0', 'i_load_f')","('gfli_23a_0', 'x_1')","('gfli_23a_0', 'x_2')","('gfli_23a_0', 'i_L')","('gfli_23a_0', 'v_dc')","('gfli_23a_0', 'i_load')","('constant_impedance_loads_0', 'i_bus_D')","('constant_impedance_loads_0', 'i_bus_Q')","('shunt_parallel_rc_0', 'v_bus_D')","('shunt_parallel_rc_0', 'v_bus_Q')","('shunt_parallel_rc_1', 'v_bus_D')","('shunt_parallel_rc_1', 'v_bus_Q')","('branch_series_rl_0', 'i_br_D')","('branch_series_rl_0', 'i_br_Q')"
"('voltage_source_4a_0', 'i_bus_d')",-37.69911184307752,376.99111843077515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75397.32313855586,-368.5085720305406,0.0,0.0,0.0,0.0
"('voltage_source_4a_0', 'i_bus_q')",-376.99111843077515,-37.69911184307752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.5085720305406,-75397.32313855586,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'z_pll')",0.0,0.0,0.0,-2406.6387931227946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.31683354956098,2487.030950385082,0.0,0.0
"('gfli_23a_0', 'phase')",0.0,0.0,1.0,-96.26555172491179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17267334198244,99.48123801540328,0.0,0.0
"('gfli_23a_0', 'z_cc_d')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'z_cc_q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfli_23a_0', 'i_vsc_d')",0.0,0.0,0.03816239409752506,-3.6737239229417673,2513.2741228718346,0.0,-12.56637061435917,376.99111843077515,-125.66370614359174,-879.645943005142,-2513.2741228718346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.5653726843536,-187.95393282079107,0.0,0.0
"('gfli_23a_0', 'i_vsc_q')",0.0,0.0,-0.7938638666295804,-1738.1411574409383,0.0,2513.2741228718346,-376.99111843077515,-12.56637061435917,879.645943005142,-125.66370614359174,0.0,-2513.2741228718346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.67465723801874,1796.202598847246,0.0,0.0
"('gfli_23a_0', 'i_bus_d')",0.0,0.0,0.01038793194535047,-0.9999999999999991,0.0,0.0,0.0,0.0,-56.54866776461627,376.99111843077515,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1875.0714860768728,192.7837793615878,0.0,0.0
"('gfli_23a_0', 'i_bus_q')",0.0,0.0,5.332674183513113,-513.3528224450833,0.0,0.0,0.0,0.0,-376.99111843077515,-56.54866776461627,0.0,1884.9555921538758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.50282252314275,-1344.6761294065873,0.0,0.0
