time,z_cc_d,z_cc_q,theta_pll,gamma_pll,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,i_L_f,v_dc_f,i_dc_f,i_load_f,x_1,x_2,i_L,v_dc,i_load
0.0,0.22470868589289822,0.016352134589081413,-0.000979603746903796,0.0,-0.3953043949435131,0.06488719459059546,0.9826846255253947,-0.09973092667208823,-0.5001550986564104,0.010003101973128216,0.26174313640827224,1.05,-0.3753604112341561,0.5,0.13710354764242827,0.5238095238095238,0.26174313640827224,1.05,0.5
0.002004008016032064,0.22470868589298523,0.016352134589115053,0.7545136192280729,-7.895699313443996e-9,-0.3953043967530049,0.06488719430142872,0.9826846303862926,-0.09973092897653171,-0.5001551003620115,0.010003101982257715,0.2617431363895897,1.0500000000007035,-0.37536041123622277,0.5,0.13710354764240895,0.5238095238092348,0.2617431362776621,1.04999999999954,0.5
0.004008016032064128,0.22470868589294618,0.0163521345895788,1.5100068425838604,-6.348839546152484e-9,-0.39530439628769387,0.06488719424205092,0.9826846293587155,-0.09973092565545472,-0.500155099811493,0.010003101816752366,0.2617431363792022,1.050000000000573,-0.3753604112368837,0.5,0.13710354764238186,0.5238095238095661,0.26174313640752184,1.0499999999984295,0.5
0.0060120240480961915,0.22470868589282517,0.016352134589966167,2.2655000659336118,-5.025125049837911e-9,-0.3953043956202182,0.06488719433936262,0.9826846269352656,-0.0997309264031223,-0.5001550995827412,0.010003101630464506,0.26174313640155067,1.0500000000001866,-0.3753604112386292,0.5,0.13710354764236704,0.5238095238099596,0.26174313657097625,1.050000000000211,0.5
0.008016032064128256,0.22470868589279233,0.016352134590450394,3.020993289277834,-3.901062478245543e-9,-0.3953043955612891,0.06488719444911371,0.9826846264965885,-0.09973092674462862,-0.500155098842259,0.010003101386919124,0.2617431364362119,1.049999999999922,-0.3753604112220493,0.5,0.13710354764236587,0.5238095238099584,0.26174313657890397,1.0499999999999714,0.5
0.01002004008016032,0.22470868589271828,0.016352134590997814,3.7764865126180736,-2.9289043869825204e-9,-0.395304395215449,0.06488719407547092,0.9826846255802992,-0.09973092656745491,-0.5001550983103833,0.01000310158272975,0.2617431364503374,1.0499999999998013,-0.3753604112121296,0.5,0.13710354764237093,0.5238095238096222,0.2617431364505238,1.0499999999994292,0.5
0.012024048096192383,0.22470868589264242,0.016352134591546684,4.531979735953796,-2.114205161828439e-9,-0.39530439466066536,0.06488719405231211,0.982684624764439,-0.09973092647330796,-0.5001550979872882,0.010003101546957117,0.26174313644226865,1.0499999999993919,-0.37536041120244995,0.5,0.13710354764238544,0.5238095238094449,0.26174313638879526,1.049999999996547,0.5
0.014028056112224447,0.22470868589255633,0.01635213459209414,5.287472959285866,-1.42839021222715e-9,-0.39530439434952797,0.0648871940828185,0.9826846238466909,-0.09973092631168594,-0.50015509754678,0.010003101505899318,0.2617431364393003,1.0499999999985077,-0.37536041119541985,0.5,0.13710354764242644,0.5238095238096172,0.2617431364763855,1.0499999999939784,0.5
0.01603206412825651,0.22470868589246754,0.016352134592610965,6.042966182614845,-8.514844260503226e-10,-0.39530439405281514,0.0648871940392572,0.9826846230734799,-0.09973092635998335,-0.5001550971912764,0.010003101538843704,0.26174313645674707,1.0499999999974756,-0.3753604111887731,0.5,0.13710354764250712,0.523809523809805,0.2617431365781369,1.0499999999931773,0.5
0.018036072144288574,0.22470868589238285,0.016352134593100354,6.798459405940987,-3.7183450411801754e-10,-0.3953043937830577,0.06488719402393045,0.9826846225388813,-0.0997309263200693,-0.5001550969113734,0.010003101563644118,0.26174313647921843,1.0499999999966199,-0.37536041118239877,0.5,0.13710354764262625,0.5238095238096916,0.261743136561281,1.0499999999932046,0.5
0.02004008016032064,0.22470868589229395,0.01635213459355347,7.55395262926468,2.464593796591598e-11,-0.3953043935593574,0.0648871940206471,0.9826846220600546,-0.09973092625564493,-0.5001550967083234,0.010003101598498003,0.2617431364853855,1.0499999999958871,-0.3753604111779117,0.5,0.13710354764277635,0.5238095238093856,0.26174313646682945,1.0499999999923213,0.5
0.022044088176352703,0.22470868589220566,0.01635213459396275,8.309445852586192,3.48691548756617e-10,-0.395304393393421,0.06488719404330018,0.9826846217285522,-0.09973092624405967,-0.5001550965831778,0.010003101625557084,0.2617431364770921,1.0499999999949994,-0.37536041117439833,0.5,0.13710354764295815,0.5238095238092199,0.2617431364315377,1.0499999999900806,0.5
0.024048096192384766,0.22470868589211912,0.016352134594328792,9.064939075905823,6.110087521237993e-10,-0.3953043932971008,0.06488719407054898,0.9826846215578169,-0.09973092623955021,-0.5001550965270182,0.010003101658810014,0.2617431364736985,1.0499999999938836,-0.37536041117182384,0.5,0.13710354764318056,0.5238095238092804,0.2617431364932951,1.049999999988119,0.5
0.026052104208416832,0.22470868589203405,0.01635213459465066,9.820432299223812,8.204302618187404e-10,-0.39530439325250605,0.06488719410203785,0.9826846215353476,-0.09973092624897574,-0.5001550965522866,0.010003101697526766,0.26174313648398567,1.049999999992767,-0.37536041117011565,0.5,0.13710354764344862,0.5238095238093287,0.26174313655491915,1.0499999999875647,0.5
0.028056112224448895,0.22470868589195106,0.01635213459492928,10.575925522540354,9.843314864713144e-10,-0.395304393262787,0.0648871941462983,0.9826846216557598,-0.09973092626763609,-0.5001550966508355,0.010003101733745159,0.26174313649615255,1.0499999999918546,-0.37536041116908586,0.5,0.13710354764375757,0.5238095238091672,0.26174313653305886,1.0499999999876128,0.5
0.03006012024048096,0.22470868589187015,0.01635213459516608,11.331418745855634,1.1095914989592932e-9,-0.3953043933269462,0.06488719419768904,0.9826846219019303,-0.09973092630007982,-0.5001550968139616,0.010003101770475734,0.26174313649655856,1.0499999999910807,-0.3753604111686934,0.5,0.1371035476440997,0.5238095238088967,0.2617431364665989,1.0499999999869019,0.5
0.03206412825651302,0.22470868589179196,0.016352134595363086,12.08691196916982,1.2020605203657002e-9,-0.3953043934368689,0.06488719425445141,0.9826846222634541,-0.09973092634668251,-0.5001550970339455,0.01000310180723994,0.261743136488211,1.049999999990251,-0.3753604111688532,0.5,0.1371035476444734,0.5238095238087412,0.26174313644775543,1.0499999999853844,0.5
0.03406813627254509,0.2247086858917165,0.016352134595523014,12.842405192483058,1.2668342564235556e-9,-0.3953043935843948,0.06488719431516482,0.9826846227174643,-0.09973092640131817,-0.5001550972987566,0.010003101843558612,0.2617431364845234,1.0499999999893312,-0.3753604111695091,0.5,0.1371035476448825,0.5238095238087352,0.2617431364922726,1.049999999984218,0.5
0.03607214428857715,0.22470868589164386,0.016352134595648552,13.597898415795468,1.308331410203258e-9,-0.39530439375895854,0.06488719437816326,0.9826846232352336,-0.09973092646281333,-0.5001550975943332,0.010003101878885125,0.2617431364901551,1.0499999999884804,-0.37536041117053864,0.5,0.13710354764532773,0.5238095238087058,0.2617431365295389,1.0499999999840461,0.5
0.038076152304609215,0.22470868589157406,0.01635213459574254,14.353391639107164,1.3303724043508654e-9,-0.39530439394872335,0.06488719444140041,0.9826846237854675,-0.09973092652815797,-0.5001550979033634,0.010003101912527986,0.2617431364962011,1.0499999999878185,-0.3753604111718219,0.5,0.13710354764580338,0.523809523808533,0.2617431365087106,1.0499999999842171,0.5
0.04008016032064128,0.22470868589150725,0.016352134595807893,15.108884862418243,1.336306277439227e-9,-0.3953043941393583,0.06488719450189363,0.9826846243308933,-0.09973092659307446,-0.500155098206247,0.010003101944198326,0.26174313649405084,1.0499999999872787,-0.37536041117332575,0.5,0.13710354764630264,0.523809523808303,0.26174313646333597,1.049999999983834,0.5
0.04208416833667334,0.22470868589144344,0.016352134595847435,15.864378085728783,1.3290048664786303e-9,-0.3953043943142962,0.06488719455672672,0.982684624829242,-0.09973092665268345,-0.5001550984809703,0.010003101973122819,0.2617431364868564,1.0499999999867253,-0.37536041117504987,0.5,0.1371035476468235,0.5238095238081645,0.2617431364548038,1.049999999982975,0.5
0.044088176352705406,0.22470868589138254,0.01635213459586393,16.619871309038867,1.3108958289948409e-9,-0.39530439445521026,0.06488719460259013,0.9826846252329642,-0.09973092670123247,-0.5001550987026981,0.010003101998380504,0.2617431364837442,1.0499999999861458,-0.37536041117696145,0.5,0.1371035476473672,0.5238095238081237,0.2617431364869446,1.0499999999824452,0.5
0.04609218436873747,0.22470868589132464,0.016352134595859984,17.375364532348563,1.284005839968369e-9,-0.3953043945416847,0.0648871946356294,0.9826846254894465,-0.09973092673237224,-0.5001550988440503,0.010003102018956407,0.2617431364869217,1.049999999985648,-0.3753604111789911,0.5,0.13710354764793295,0.5238095238080579,0.2617431365092293,1.049999999982603,0.5
0.04809619238476953,0.22470868589127405,0.01635213459583802,18.13085775565791,1.2500937079606815e-9,-0.3953043949157218,0.06488719469433984,0.9826846263417459,-0.09973092679851137,-0.5001550992518352,0.010003102031478662,0.26174313648980085,1.0499999999853005,-0.37536041118168584,0.5,0.13710354764851562,0.5238095238078964,0.26174313649155584,1.049999999983055,0.5
0.0501002004008016,0.22470868589123377,0.016352134595800327,18.886350978966966,1.2106786067549283e-9,-0.39530439583910226,0.06488719481253949,0.9826846283551706,-0.09973092694989717,-0.5001551001913849,0.010003102038552281,0.26174313648704584,1.049999999985044,-0.37536041118547825,0.5,0.13710354764911,0.5238095238077078,0.26174313646121883,1.0499999999833058,0.5
0.052104208416833664,0.2247086858911934,0.016352134595749104,19.641844202275777,1.1672485300116783e-9,-0.39530439649545207,0.06488719489639842,0.9826846297409464,-0.09973092705657759,-0.5001551008234502,0.010003102046726654,0.2617431364815104,1.0499999999847853,-0.37536041118899754,0.5,0.1371035476497145,0.52380952380759,0.2617431364585389,1.0499999999832157,0.5
0.05410821643286573,0.224708685891153,0.016352134595686314,20.397337425584386,1.1209496371376682e-9,-0.39530439692052277,0.06488719495007404,0.9826846305859767,-0.09973092712338544,-0.500155101191522,0.010003102055068908,0.26174313647931136,1.0499999999845224,-0.3753604111922394,0.5,0.13710354765032964,0.5238095238075358,0.2617431364814467,1.0499999999833414,0.5
0.05611222444889779,0.2247086858911125,0.016352134595613733,21.15283064889282,1.0727258642264457e-9,-0.3953043971479545,0.06488719497758581,0.982684630972003,-0.0997309271551431,-0.5001551013364954,0.010003102062854251,0.26174313648127484,1.0499999999843301,-0.37536041119517627,0.5,0.13710354765095412,0.5238095238074586,0.26174313649435876,1.0499999999838703,0.5
0.058116232464929855,0.22470868589107196,0.016352134595532957,21.908323872201116,1.023368026483794e-9,-0.3953043972093086,0.06488719498281376,0.9826846309756144,-0.0997309271566279,-0.5001551012966557,0.010003102069523493,0.26174313648261993,1.0499999999842455,-0.3753604111977976,0.5,0.13710354765158417,0.5238095238073187,0.26174313648017267,1.0499999999844223,0.5
