time,angle,w,q_f,z_vc_d,z_vc_q,z_cc_d,z_cc_q,i_vsc_d,i_vsc_q,v_sh_d,v_sh_q,i_bus_d,i_bus_q,p_sh,q_sh
0.0,-0.10212153653864303,1.0,0.04005103695221772,-0.0009485724835955883,-0.008109693717324354,0.9857332395646088,0.0001232093552425706,-0.39983582990362865,0.02464187104851061,0.9877324187141269,0.0,-0.4986090717750412,-0.04054846858662178,-0.49249234445716716,0.040051036952217726
0.002004008016032064,0.6533716867781622,0.9999999999952927,0.040051103793016324,-0.0009486012668747392,-0.008109700005416082,0.9857332361563205,0.0001232091907870942,-0.39983525655585384,0.02464182568381897,0.9877313078392018,-2.4436415066527345e-8,-0.4986085344766732,-0.04054849533924938,-0.49249125886757233,0.040051030516553676
0.004008016032064128,1.4088649100680841,0.9999999999526714,0.04005110753783054,-0.0009485774269709147,-0.008109699662726594,0.9857332349202323,0.00012321212265765385,-0.39983494611481013,0.024641773390055723,0.9877315043826344,-9.612666908340624e-9,-0.4986087526205186,-0.040548522265229266,-0.4924915729344342,0.0400510576904875
0.0060120240480961915,2.1643581333338626,0.9999999998838351,0.040051200484618535,-0.0009486025371260999,-0.008109706523813159,0.9857332309675366,0.00012320929962639942,-0.39983485896606785,0.024641628245788704,0.9877318518958202,4.0564457753495255e-9,-0.4986089233763886,-0.04054864760121373,-0.49249191542282483,0.040051188764437785
0.008016032064128256,2.919851356573339,0.9999999999093189,0.04005111814126599,-0.0009485779391260005,-0.008109709140226684,0.985733227347676,0.00012321214738932702,-0.39983507400614327,0.024641678185900066,0.9877326981272987,-7.123353123465558e-8,-0.4986094335880741,-0.040548561384675,-0.49249283826125534,0.040051175459376094
0.01002004008016032,3.6753445798626494,1.0000000000127336,0.0400510572629479,-0.0009486260835518774,-0.008109693902447236,0.9857332228605815,0.0001232157882833684,-0.3998361551178389,0.02464176767650377,0.9877337106337947,-4.1043787354975674e-8,-0.4986097627226718,-0.04054852613658043,-0.4924936694280355,0.04005116664644907
0.012024048096192383,4.430837803211822,1.0000000001067935,0.040051025434123734,-0.0009486742774966932,-0.008109677380464036,0.9857332193369671,0.0001232195016126758,-0.39983698922581995,0.024641906883377095,0.9877339273960682,-3.221186774319891e-8,-0.4986097043320776,-0.040548475229102786,-0.4924937201915732,0.04005112074911374
0.014028056112224447,5.186331026599111,1.0000000001449856,0.04005100640310636,-0.0009486801466373605,-0.00810966783639655,0.985733217792757,0.00012322232649575072,-0.3998368743329305,0.024642005427948626,0.9877332177994612,-6.686758765628097e-8,-0.4986092422679261,-0.040548413026122485,-0.49249290857847516,0.040051047815750765
0.01603206412825651,5.94182424999118,1.000000000125923,0.040051000139755204,-0.0009486600373409741,-0.008109669557817398,0.985733217386216,0.0001232244398040987,-0.39983629876744137,0.02464202158226235,0.9877322842388695,-8.45912126642147e-8,-0.49860872196147976,-0.04054839436512117,-0.49249192845439793,0.040051000366396076
0.018036072144288574,6.697317473333686,0.999999999996211,0.04005114906899166,-0.0009486543566909876,-0.008109684647775518,0.9857332147703585,0.0001232213472437767,-0.399835726033541,0.024641846832331657,0.9877317143578368,-4.4068283031953096e-8,-0.49860847415371584,-0.04054854720269632,-0.49249140118229007,0.04005110801605827
0.02004008016032064,7.452810696608355,0.9999999999466865,0.0400511338694998,-0.0009486214139014843,-0.008109695935109212,0.9857332137290188,0.00012322381534463165,-0.39983528319540246,0.024641841981313122,0.9877314164499689,-3.5814007079179804e-8,-0.49860851705951703,-0.040548535100653975,-0.4924912953570097,0.04005107986710919
0.022044088176352703,8.208303919873565,0.9999999999355655,0.04005110009535274,-0.000948599245529356,-0.008109694384995838,0.9857332131835371,0.0001232267904029945,-0.399835043464234,0.024641824567526074,0.9877316659043117,-1.2143553660215184e-8,-0.4986087547540433,-0.04054852624538554,-0.4924916554752824,0.04005106943320154
0.024048096192384766,8.963797143146353,0.9999999999389372,0.040051060559478754,-0.0009485779243781334,-0.008109689955956666,0.9857332132530932,0.00012322834560182281,-0.39983451481013055,0.02464168459460206,0.9877324181910637,-5.8794793955996855e-8,-0.49860906239146896,-0.04054852162453402,-0.49249233254386265,0.040051118633890714
0.026052104208416832,9.719290366400683,0.9999999998802469,0.04005118151980119,-0.0009486005428637541,-0.008109692873806177,0.9857332068219938,0.00012322897581955436,-0.39983540825623076,0.024641729253839992,0.9877325966785023,-4.347968374861373e-9,-0.4986092351168046,-0.04054861293133107,-0.49249259435349924,0.04005118891031232
0.028056112224448895,10.474783589647926,0.9999999999424333,0.040051146246660056,-0.0009486426248136285,-0.008109689253778586,0.9857332027670217,0.00012323270359034116,-0.3998365278900555,0.024641786164846368,0.9877334740648114,4.8765085818405455e-8,-0.4986096406702274,-0.04054859069430647,-0.4924934345587665,0.040051176040177494
0.03006012024048096,11.230276812934985,1.0000000000113878,0.04005109105263627,-0.0009486705109694881,-0.008109680252602442,0.9857332008681065,0.00012323548736602465,-0.399836817696966,0.024641864130375,0.9877333047669573,3.641208270461894e-8,-0.4986095007837753,-0.04054851238097644,-0.49249321147381697,0.04005109798203537
0.03206412825651302,11.985770036256593,1.0000000000467621,0.04005104669161215,-0.000948665432671316,-0.008109673031710705,0.985733200343602,0.00012323796759214952,-0.3998364768211369,0.0246419222247288,0.9877325746707954,6.971034170640156e-9,-0.4986091004825392,-0.04054843613918931,-0.49249245085657234,0.040051007750814716
0.03406813627254509,12.741263259591083,1.0000000000405402,0.040051027332916204,-0.0009486398866499676,-0.008109670113246977,0.9857332005063405,0.0001232403489575698,-0.399835901366506,0.02464193003760901,0.9877318715544352,2.2718366475839654e-10,-0.4986087389408118,-0.040548406741941406,-0.49249174289661674,0.0400509535664925
0.03607214428857715,13.496756482913549,0.9999999999995415,0.040051028890710536,-0.0009486058078039745,-0.008109672663858992,0.9857332008195583,0.00012324265680672253,-0.3998353721094332,0.024641895232165645,0.9877315291459678,1.241930203144853e-8,-0.49860858677395475,-0.04054842382030273,-0.4924914223631314,0.040050950472115765
0.038076152304609215,14.252249706205593,0.9999999999401461,0.0400510446473397,-0.0009485740862765778,-0.008109678769169171,0.9857332008064434,0.0001232449344111682,-0.39983507265694584,0.024641840765588036,0.9877316646067495,2.3644280497771484e-8,-0.4986086900557192,-0.04054846827407229,-0.4924915923748657,0.04005099427635967
0.04008016032064128,15.007742929459774,0.9999999998813516,0.04005106512261423,-0.000948553573107069,-0.00810968602779504,0.9857331999851565,0.00012324719137024603,-0.39983507805072194,0.024641795253516924,0.9877321556142691,1.4732136521164377e-8,-0.49860896121581055,-0.04054851232153211,-0.49249210466765025,0.040051062136723374
0.04208416833667334,15.76323615267946,0.999999999839815,0.040051085101406,-0.0009485509393744193,-0.008109691954089898,0.9857331980260814,0.00012324947360882498,-0.399835351767507,0.02464177956396905,0.9877326213242301,-9.104996156673171e-9,-0.49860917369708624,-0.040548536372825184,-0.49249254578293705,0.04005111666222612
0.044088176352705406,16.51872937588323,0.9999999999259948,0.04005139432183126,-0.0009488722158225677,-0.00810967296501808,0.9857331987227179,0.0001232526753769014,-0.39983822341274733,0.0246411604022377,0.9877357250931548,6.101852166452609e-7,-0.4986106251920773,-0.04054908684858647,-0.492495552155701,0.04005147745542151
0.04609218436873747,17.274222599087647,0.9999999998316805,0.04005086556391583,-0.0009486658469342764,-0.00810948778456701,0.9857331997593636,0.00012335567163006747,-0.39983690081214684,0.02464206997073488,0.987733401612612,2.1445203186871662e-7,-0.49860945843292126,-0.04054829513694361,-0.4924932251498359,0.04005079855739397
0.04809619238476953,18.02971582223675,0.9999999997564265,0.04005061205997301,-0.0009486098824653018,-0.008109584836797084,0.9857332016718107,0.00012335889757709762,-0.3998361541292533,0.024642302713438077,0.987732548489021,5.676128069575449e-8,-0.4986087099171622,-0.0405480473278464,-0.49249205404686075,0.04005059782171822
0.0501002004008016,18.785209045259574,0.9999999995025376,0.040050804303666095,-0.0009485324612282401,-0.008109636250193945,0.9857332033345279,0.00012335854315311906,-0.39983528409841973,0.024642089331823838,0.9877317261281697,3.710862184075703e-8,-0.498608096737922,-0.04054824344101291,-0.49249103755711854,0.040050767982797615
